timestamp,cpu_total_pct,mem_avail_mb,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_power_w,gpu_temp_c,gpu_clock_graphics_mhz,gpu_clock_sm_mhz
"2026-03-16T16:20:09.5621841-03:00","2,51858667453811","23253","1","0","791","12282","25.29","40","2490","2490"
"2026-03-16T16:20:12.4940824-03:00","6,70284227944217","23250","0","2","791","12282","5.73","39","300","300"
"2026-03-16T16:20:15.0401878-03:00","8,25342916938823","23250","0","11","791","12282","4.96","39","210","210"
"2026-03-16T16:20:17.5922685-03:00","5,90847073836038","23247","0","3","791","12282","4.85","39","210","210"
"2026-03-16T16:20:20.1420837-03:00","7,41417457145549","23248","0","3","791","12282","4.83","39","210","210"
"2026-03-16T16:20:22.6930484-03:00","7,76050782341388","23255","0","3","791","12282","4.72","39","210","210"
"2026-03-16T16:20:25.2439695-03:00","7,42688126931532","23253","0","3","791","12282","4.78","39","210","210"
"2026-03-16T16:20:27.7939749-03:00","7,46205175780668","23336","0","3","791","12282","4.69","39","210","210"
"2026-03-16T16:20:30.3424918-03:00","7,62282609450887","23334","0","3","791","12282","4.75","39","210","210"
"2026-03-16T16:20:32.8932267-03:00","7,35286404109697","23371","0","3","791","12282","4.81","39","210","210"
"2026-03-16T16:20:35.4410152-03:00","6,34661932905715","23369","0","4","791","12282","4.79","39","210","210"
"2026-03-16T16:20:37.9940577-03:00","7,50624638687442","23371","0","3","791","12282","4.72","39","210","210"
"2026-03-16T16:20:40.5459959-03:00","7,71598813960296","23371","0","3","791","12282","4.76","39","210","210"
"2026-03-16T16:20:43.0971759-03:00","6,98609812110653","23368","0","5","789","12282","4.71","39","210","210"
"2026-03-16T16:20:45.6456762-03:00","7,0303316146258","23368","0","3","790","12282","4.91","39","210","210"
"2026-03-16T16:20:48.1971352-03:00","7,87701319462434","23369","0","3","788","12282","4.77","39","210","210"
"2026-03-16T16:20:50.7454520-03:00","9,15966710586389","23367","0","3","788","12282","4.77","39","210","210"
"2026-03-16T16:20:53.2951493-03:00","8,01160329438273","23371","0","3","788","12282","4.74","39","210","210"
"2026-03-16T16:20:55.8445992-03:00","7,27593818195253","23369","0","3","788","12282","4.73","39","210","210"
"2026-03-16T16:20:58.3982128-03:00","7,64787144384005","23368","0","3","788","12282","4.71","39","210","210"
"2026-03-16T16:21:00.9496946-03:00","7,93325911100298","23368","0","3","788","12282","4.73","39","210","210"
"2026-03-16T16:21:03.4985437-03:00","8,04530853485939","23369","0","3","788","12282","4.90","39","210","210"
"2026-03-16T16:21:06.0465611-03:00","7,5725864857089","23368","0","5","788","12282","4.69","39","210","210"
"2026-03-16T16:21:08.5973393-03:00","7,327961448507","23368","0","3","788","12282","4.75","39","210","210"
"2026-03-16T16:21:11.1467524-03:00","7,55095547443726","23369","0","5","788","12282","4.75","39","210","210"
"2026-03-16T16:21:13.6978271-03:00","8,0952854651465","23368","0","3","788","12282","4.74","39","210","210"
"2026-03-16T16:21:16.2476900-03:00","8,1484136496572","23368","0","5","788","12282","4.75","39","210","210"
"2026-03-16T16:21:18.7950330-03:00","7,71116038925635","23369","0","4","788","12282","4.71","39","210","210"
"2026-03-16T16:21:21.3468036-03:00","12,5414623275264","23351","0","3","788","12282","4.68","39","210","210"
"2026-03-16T16:21:23.9048566-03:00","12,8825347941914","23327","0","3","788","12282","4.69","39","210","210"
"2026-03-16T16:21:26.4662240-03:00","13,1357248431162","23335","0","3","788","12282","4.70","39","210","210"
"2026-03-16T16:21:29.0304577-03:00","8,39013739535014","23331","0","3","788","12282","4.67","39","210","210"
"2026-03-16T16:21:31.5893961-03:00","16,8979637879435","23303","0","3","788","12282","4.68","39","210","210"
"2026-03-16T16:21:34.1598840-03:00","11,1388499390292","23292","0","3","788","12282","4.70","39","210","210"
"2026-03-16T16:21:36.7124624-03:00","7,25081687577428","23292","0","3","788","12282","4.68","39","210","210"
"2026-03-16T16:21:39.2609198-03:00","7,98374649698288","23291","0","3","788","12282","4.69","39","210","210"
"2026-03-16T16:21:41.8087860-03:00","7,75257327666182","23290","0","3","788","12282","4.63","39","210","210"
"2026-03-16T16:21:44.3554815-03:00","7,62930407079364","23290","0","3","788","12282","4.66","39","210","210"
"2026-03-16T16:21:46.9049943-03:00","8,46241684043293","23295","0","2","790","12282","4.68","39","210","210"
"2026-03-16T16:21:49.4616129-03:00","14,1142395120711","23287","0","3","789","12282","4.77","39","210","210"
"2026-03-16T16:21:52.0205267-03:00","16,2760178981978","23284","0","3","789","12282","4.62","39","210","210"
"2026-03-16T16:21:54.5832726-03:00","13,2024571098698","23262","0","3","789","12282","4.63","39","210","210"
"2026-03-16T16:21:57.1378144-03:00","18,7140386305824","23253","0","3","789","12282","4.72","39","210","210"
"2026-03-16T16:21:59.6995001-03:00","20,1235960875938","22854","0","3","789","12282","4.85","39","210","210"
"2026-03-16T16:22:02.2535229-03:00","20,0112700511844","23006","0","3","789","12282","4.69","39","210","210"
"2026-03-16T16:22:04.8178429-03:00","20,326036750658","23311","0","3","789","12282","4.73","39","210","210"
"2026-03-16T16:22:07.3862473-03:00","20,2983910999792","23291","0","4","789","12282","4.66","39","210","210"
"2026-03-16T16:22:09.9595570-03:00","20,6380711408344","23282","0","4","789","12282","4.71","39","210","210"
"2026-03-16T16:22:12.5267037-03:00","13,6103202500714","23292","0","3","789","12282","4.67","39","210","210"
